Continents;Region;Division;State
Africa;;;
Asia;;;
Europe;;;
North America;Northeast;New England;Connecticut
North America;Northeast;New England;Maine
North America;Northeast;New England;Massachusetts
North America;Northeast;New England;New Hampshire
North America;Northeast;New England;Rhode Island
North America;Northeast;New England;Vermont
North America;Northeast;Mid-Atlantic;New Jersey
North America;Northeast;Mid-Atlantic;New York
North America;Northeast;Mid-Atlantic;Pennsylvania
North America;Midwest;East North Central;Illinois
North America;Midwest;East North Central;Indiana
North America;Midwest;East North Central;Michigan
North America;Midwest;East North Central;Ohio
North America;Midwest;East North Central;Wisconsin
North America;Midwest;West North Central;Iowa
North America;Midwest;West North Central;Kansas
North America;Midwest;West North Central;Minnesota
North America;Midwest;West North Central;Missouri
North America;Midwest;West North Central;Nebraska
North America;Midwest;West North Central;North Dakota
North America;Midwest;West North Central;South Dakota
North America;South;South Atlantic;Delaware
North America;South;South Atlantic;Florida
North America;South;South Atlantic;Georgia
North America;South;South Atlantic;Maryland
North America;South;South Atlantic;North Carolina
North America;South;South Atlantic;South Carolina
North America;South;South Atlantic;Virginia
North America;South;South Atlantic;District of Columbia
North America;South;South Atlantic;West Virginia
North America;South;East South Central;Alabama
North America;South;East South Central;Kentucky
North America;South;East South Central;Mississippi
North America;South;East South Central;Tennessee
North America;South;West South Central;Arkansas
North America;South;West South Central;Louisiana
North America;South;West South Central;Oklahoma
North America;South;West South Central;Texas
North America;West;Mountain;Arizona
North America;West;Mountain;Colorado
North America;West;Mountain;Idaho
North America;West;Mountain;Montana
North America;West;Mountain;Nevada
North America;West;Mountain;New Mexico
North America;West;Mountain;Utah
North America;West;Mountain;Wyoming
North America;West;Pacific;Alaska
North America;West;Pacific;California
North America;West;Pacific;Hawaii
North America;West;Pacific;Oregon
North America;West;Pacific;Washington
South America;;;
Antarctica;;;
Australia;;;
